Iterações, Bubble Sort, Insertion Sort, Heap Sort, Merge Sort, Quick Sort, Radix Sort
134, 20933, 9151, 2896, 2432, 1768, 2347
135, 20756, 9209, 2918, 2454, 1792, 2364
136, 21523, 9425, 2944, 2476, 1808, 2381
137, 21507, 9384, 2981, 2498, 1841, 2398
138, 22031, 9541, 3008, 2520, 1848, 2415
139, 22134, 9618, 3022, 2542, 1912, 2432
140, 22529, 9944, 3048, 2564, 1884, 2449
141, 23105, 10188, 3066, 2586, 1894, 2466
142, 23531, 10216, 3104, 2608, 1885, 2483
143, 23404, 10179, 3142, 2630, 1874, 2500
144, 23593, 10215, 3158, 2652, 1925, 2517
145, 24401, 10500, 3191, 2674, 1935, 2534
146, 24687, 10448, 3220, 2696, 1995, 2551
147, 24775, 10671, 3245, 2718, 1984, 2568
148, 25273, 11078, 3265, 2740, 2009, 2585
149, 25735, 11348, 3295, 2762, 1984, 2602
150, 25884, 11097, 3332, 2784, 2056, 2619
151, 26124, 11315, 3350, 2806, 2054, 2636
152, 26795, 11484, 3381, 2828, 2056, 2653
153, 27374, 11773, 3402, 2850, 2094, 2670
154, 27401, 11712, 3433, 2872, 2081, 2687
155, 27875, 12162, 3447, 2894, 2038, 2704
156, 27827, 12379, 3479, 2916, 2070, 2721
157, 28793, 12526, 3508, 2938, 2159, 2738
158, 28896, 12539, 3535, 2960, 2141, 2755
159, 28907, 12646, 3565, 2982, 2172, 2772
160, 29642, 12882, 3585, 3004, 2216, 2789
161, 30170, 12930, 3613, 3026, 2231, 2806
162, 30453, 13276, 3638, 3048, 2248, 2823
163, 31176, 13559, 3659, 3070, 2300, 2840
164, 31199, 13459, 3701, 3092, 2270, 2857
165, 32146, 13910, 3727, 3114, 2272, 2874
166, 32333, 14233, 3741, 3136, 2297, 2891
167, 32293, 13828, 3779, 3158, 2335, 2908
168, 32470, 13922, 3818, 3180, 2316, 2925
169, 32792, 14094, 3838, 3202, 2364, 2942
170, 33596, 14558, 3855, 3224, 2352, 2959
171, 33865, 14651, 3887, 3246, 2385, 2976
172, 34105, 14819, 3918, 3268, 2375, 2993
173, 34706, 14996, 3936, 3290, 2419, 3010
174, 35300, 14954, 3977, 3312, 2469, 3027
175, 35841, 15436, 3990, 3334, 2436, 3044
176, 35604, 15251, 4027, 3356, 2476, 3061
177, 36430, 15569, 4054, 3378, 2501, 3078
178, 37022, 16193, 4080, 3400, 2479, 3095
179, 37677, 16390, 4100, 3422, 2518, 3112
180, 37547, 16124, 4137, 3444, 2531, 3129
181, 37475, 16330, 4159, 3466, 2509, 3146
182, 39111, 16911, 4182, 3488, 2579, 3163
183, 38723, 16688, 4221, 3510, 2549, 3180
184, 39774, 17086, 4245, 3532, 2522, 3197
185, 39673, 17481, 4252, 3554, 2609, 3214
186, 40481, 17299, 4299, 3576, 2658, 3231
187, 41463, 17748, 4322, 3598, 2712, 3248
